,Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
4194152,4297099111,2016-11-15T00:00:00,1231.0,,,CA,201704.0,,TOYT,PA,SL,7024 HAWTHORN AVE,00483,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6458021.913987001,1859071.427079
2658528,4264119930,2015-08-18T00:00:00,1843.0,64,,CA,201607.0,,SUBA,PA,GN,1545 NORTH LAS PALMAS AVENUE,00402,54.0,80.58L,PREFERENTIAL PARKING,68.0,6459850.4,1858489.9
3117687,4269873543,2015-11-02T00:00:00,1153.0,,,CA,201605.0,,TOYT,PA,SL,10943 REGENT ST,00142,51.0,80.73.2,EXCEED 72HRS-ST,68.0,6436013.9,1828936.6
2023878,4258071300,2015-05-06T00:00:00,945.0,,,CA,201506.0,,FORD,VN,WT,7310 MILWOOD AVENUE,00376,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
2390287,4262658772,2015-07-06T00:00:00,1536.0,,,CA,201505.0,,VOLK,PA,GY,375 2ND ST E,00667,56.0,5204A-,DISPLAY OF TABS,25.0,6486699.5,1841733.3
3049172,4269436080,2015-10-21T00:00:00,1448.0,13,,CA,201602.0,,HOND,PA,SL,128 SOUTH LAUREL AVENUE,00401,54.0,80.58L,PREFERENTIAL PARKING,68.0,99999.0,99999.0
8306023,4340659433,2018-10-18T00:00:00,947.0,,,CA,201908.0,,FORD,PA,BK,625 E ALISO ST,00600,56.0,22514,FIRE HYDRANT,68.0,99999.0,99999.0
2395810,4262273083,2015-07-07T00:00:00,1832.0,40,,CA,201508.0,,AUDI,PA,BK,6706 WARING AVENUE,00402,54.0,80.58L,PREFERENTIAL PARKING,68.0,6459479.8,1853588.7
6918444,4325753843,2018-02-14T00:00:00,1010.0,,,CA,201901.0,,HOND,PA,TN,4935 MCCONNELL AVE,00138,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6433154.684379,1816656.226618
1668659,4254323835,2015-03-07T00:00:00,1635.0,,,CA,201506.0,,CHEV,PU,RD,9100 NOBLE AVE,00361,53.0,80.56E4+,RED ZONE,93.0,6422318.1,1908405.0
8191828,4339477402,2018-09-26T00:00:00,1821.0,13,,CA,201902.0,,HOND,PA,GY,112 CROFT AVE S,401A,54.0,80.58L,PREFERENTIAL PARKING,68.0,6448347.297428,1849682.6984439997
